Genome,charge
KT253327|Camel_alphaCoV_Camel229E|Saudi_Arabia|2014|2014|Camel,-17.47
KT253326|Camel_alphaCoV_Camel229E|Saudi_Arabia|2014|2014|Camel,-18.46
KT253325|Camel_alphaCoV_Camel229E|Saudi_Arabia|2014|2014|Camel,-18.46
KT253324|Camel_alphaCoV_Camel229E|Saudi_Arabia|2014|2014|Camel,-18.46
KU291449|Camel_alphaCoV_Camel229E|Kenya|2015|2015|Camel,-14.44
KU291448|Human_CoV_229E|Germany|2015|2015|Homo_sapiens,-7.29
KT368916|Camel_alphaCoV|Saudi_Arabia|Mar-2015|2015|Camel,-16.47
KT368915|Camel_alphaCoV|Saudi_Arabia|Mar-2015|2015|Camel,-16.43
KT368914|Camel_alphaCoV|Saudi_Arabia|Apr-2015|2015|Camel,-16.43
KT368913|Camel_alphaCoV|Saudi_Arabia|Apr-2015|2015|Camel,-16.43
KT368912|Camel_alphaCoV|Saudi_Arabia|Jan-2015|2015|Camel,-16.43
KT368911|Camel_alphaCoV|Saudi_Arabia|Jan-2015|2015|Camel,-16.43
KT368910|Camel_alphaCoV|Saudi_Arabia|Jan-2015|2015|Camel,-16.43
KT368909|Camel_alphaCoV|Saudi_Arabia|Jan-2015|2015|Camel,-16.43
KT368908|Camel_alphaCoV|Saudi_Arabia|Mar-2015|2015|Camel,-16.47
KT368907|Camel_alphaCoV|Saudi_Arabia|Mar-2015|2015|Camel,-16.47
KT368906|Camel_alphaCoV|Saudi_Arabia|Dec-2014|2014|Camel,-16.43
KT368905|Camel_alphaCoV|Saudi_Arabia|Dec-2014|2014|Camel,-16.43
KT368904|Camel_alphaCoV|Saudi_Arabia|Dec-2014|2014|Camel,-16.43
KT368903|Camel_alphaCoV|Saudi_Arabia|Dec-2014|2014|Camel,-16.47
KT368902|Camel_alphaCoV|Saudi_Arabia|Dec-2014|2014|Camel,-16.43
KT368899|Camel_alphaCoV|Saudi_Arabia|Nov-2014|2014|Camel,-16.47
KT368898|Camel_alphaCoV|Saudi_Arabia|Nov-2014|2014|Camel,-16.47
KT368897|Camel_alphaCoV|Saudi_Arabia|Oct-2014|2014|Camel,-15.43
KT368896|Camel_alphaCoV|Saudi_Arabia|Oct-2014|2014|Camel,-16.43
KT368895|Camel_alphaCoV|Saudi_Arabia|Oct-2014|2014|Camel,-16.43
KT368894|Camel_alphaCoV|Saudi_Arabia|Jun-2014|2014|Camel,-16.43
KT368893|Camel_alphaCoV|Saudi_Arabia|Jun-2014|2014|Camel,-16.43
KT368892|Camel_alphaCoV|Saudi_Arabia|Jun-2014|2014|Camel,-16.43
KF514433|Human_CoV_229E|USA|11-Mar-1993|1993|Homo_sapiens,-7.33
KF514432|Human_CoV_229E|USA|22-Feb-1993|1993|Homo_sapiens,-7.33
KF514431|Human_CoV_229E|USA|23-Mar-1995|1995|Homo_sapiens,-8.29
KF514430|Human_CoV_229E|USA|18-Mar-1993|1993|Homo_sapiens,-8.33
KF514429|Human_CoV_229E|USA|07-Feb-1989|1989|Homo_sapiens,-8.33
KF293666|Human_CoV_229E|Sweden|None|None|Homo_sapiens,-13.43
KF293665|Human_CoV_229E|Sweden|None|None|Homo_sapiens,-13.43
KF293664|Human_CoV_229E|Sweden|None|None|Homo_sapiens,-13.43
JX503061|Human_CoV_229E|Italy|2009|2009|Homo_sapiens,-6.33
JQ410000|Alpaca_respiratory_CoV|USA|2008|2008|Vicugna_pacos,-15.47
AF304460|Human_CoV_229E|None|None|None|None,-12.46
