Genome,charge
MW532109|Human_CoV_OC43|China|06-Jan-2018|2018|Homo_sapiens,-16.74
MW532108|Human_CoV_OC43|China|12-Dec-2017|2017|Homo_sapiens,-16.77
MT118692|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MT118685|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MT118683|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MT118678|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-17.70
MT118673|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-17.70
MT118672|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-13.79
MT118671|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-13.79
MT118668|Human_CoV_OC43|USA|2018|2018|Homo_sapiens,-14.78
MT118667|Human_CoV_OC43|USA|2017|2017|Homo_sapiens,-17.70
NC_006213|Human_CoV_OC43|USA|None|None|None,-15.85
MN310478|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MN310476|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-14.78
MN306053|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MN306043|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-16.78
MN306042|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
MN306041|Human_CoV_OC43|USA|2019|2019|Homo_sapiens,-17.70
KY983588|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY983585|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY983583|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY967361|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY967360|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-13.75
KY967359|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY967358|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-17.70
KY967356|Human_CoV_OC43|USA|2015|2015|Homo_sapiens,-18.70
KY684759|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KY369907|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KY369906|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KY369905|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
MN026165|Human_CoV_OC43|Kenya|27-Nov-2017|2017|Homo_sapiens,-13.75
MN026164|Human_CoV_OC43|Kenya|18-Jan-2018|2018|Homo_sapiens,-16.63
MK327281|Human_CoV_OC43|None|None|None|None,-13.75
MK303625|Human_CoV_OC43|None|None|None|None,-15.78
MK303624|Human_CoV_OC43|None|None|None|None,-17.66
MK303623|Human_CoV_OC43|None|None|None|None,-17.66
MK303622|Human_CoV_OC43|None|None|None|None,-18.70
MK303621|Human_CoV_OC43|None|None|None|None,-17.66
MK303620|Human_CoV_OC43|None|None|None|None,-18.70
MK303619|Human_CoV_OC43|None|None|None|None,-17.66
MH121121|Human_CoV_OC43|USA|19-Dec-2016|2016|Homo_sapiens,-17.70
MG197723|Human_CoV_OC43|China|20-Jun-2016|2016|None,-17.70
MG197722|Human_CoV_OC43|China|02-Dec-2015|2015|None,-17.70
MG197721|Human_CoV_OC43|China|13-Jun-2015|2015|None,-14.78
MG197720|Human_CoV_OC43|China|05-Jun-2015|2015|None,-14.78
MG197719|Human_CoV_OC43|China|04-Jun-2015|2015|None,-14.78
MG197718|Human_CoV_OC43|China|12-Mar-2015|2015|None,-14.78
MG197717|Human_CoV_OC43|China|06-Jul-2015|2015|None,-17.70
MG197716|Human_CoV_OC43|China|06-Jun-2015|2015|None,-17.70
MG197715|Human_CoV_OC43|China|21-May-2015|2015|None,-17.70
MG197714|Human_CoV_OC43|China|13-Jul-2015|2015|None,-13.78
MG197713|Human_CoV_OC43|China|14-Aug-2015|2015|None,-17.70
MG197712|Human_CoV_OC43|China|09-Jun-2015|2015|None,-17.70
MG197711|Human_CoV_OC43|China|09-Jun-2015|2015|None,-14.78
MG197710|Human_CoV_OC43|China|06-May-2015|2015|None,-16.70
MG197709|Human_CoV_OC43|China|22-Apr-2015|2015|None,-14.78
MG977452|Human_CoV_OC43|"Cote_dIvoire"|10-Dec-2016|2016|Homo_sapiens,-17.66
MG977451|Human_CoV_OC43|"Cote_dIvoire"|10-Dec-2016|2016|Homo_sapiens,-17.66
MG977449|Human_CoV_OC43|"Cote_dIvoire"|28-Dec-2016|2016|Pan_troglodytes_verus,-17.66
MG977448|Human_CoV_OC43|"Cote_dIvoire"|27-Dec-2016|2016|Pan_troglodytes_verus,-17.66
MG977447|Human_CoV_OC43|"Cote_dIvoire"|26-Dec-2016|2016|Pan_troglodytes_verus,-17.66
MG977445|Human_CoV_OC43|"Cote_dIvoire"|31-Dec-2016|2016|Pan_troglodytes_verus,-17.66
MF314143|Human_CoV_OC43|USA|07-Mar-2016|2016|Homo_sapiens,-13.75
MF374985|Human_CoV_OC43|USA|17-Jan-2017|2017|Homo_sapiens,-17.73
MF374983|Human_CoV_OC43|USA|01-Feb-2016|2016|Homo_sapiens,-18.70
KY014282|Human_CoV_OC43|France|2007|2007|Homo_sapiens,-13.75
KY014281|Human_CoV_OC43|France|2002|2002|Homo_sapiens,-18.75
KY554973|Human_CoV_OC43|USA|2016|2016|Homo_sapiens,-17.70
KX538979|Human_CoV_OC43|Malaysia|15-Feb-2013|2013|Homo_sapiens,-18.70
KX538978|Human_CoV_OC43|Malaysia|02-Jan-2013|2013|Homo_sapiens,-18.70
KX538977|Human_CoV_OC43|Malaysia|10-Sep-2012|2012|Homo_sapiens,-16.60
KX538976|Human_CoV_OC43|Malaysia|27-Aug-2012|2012|Homo_sapiens,-18.70
KX538975|Human_CoV_OC43|Malaysia|24-Aug-2012|2012|Homo_sapiens,-16.60
KX538974|Human_CoV_OC43|Malaysia|01-Aug-2012|2012|Homo_sapiens,-16.60
KX538973|Human_CoV_OC43|Malaysia|16-Jul-2012|2012|Homo_sapiens,-16.60
KX538972|Human_CoV_OC43|Malaysia|04-Jul-2012|2012|Homo_sapiens,-18.70
KX538971|Human_CoV_OC43|Malaysia|25-Jun-2012|2012|Homo_sapiens,-16.60
KX538970|Human_CoV_OC43|Malaysia|20-Jun-2012|2012|Homo_sapiens,-18.70
KX538969|Human_CoV_OC43|Malaysia|18-May-2012|2012|Homo_sapiens,-16.60
KX538968|Human_CoV_OC43|Malaysia|09-May-2012|2012|Homo_sapiens,-16.60
KX538967|Human_CoV_OC43|Malaysia|02-May-2012|2012|Homo_sapiens,-16.64
KX538966|Human_CoV_OC43|Malaysia|02-Apr-2012|2012|Homo_sapiens,-18.67
KX538965|Human_CoV_OC43|Malaysia|28-Mar-2012|2012|Homo_sapiens,-16.60
KX538964|Human_CoV_OC43|Malaysia|22-Feb-2012|2012|Homo_sapiens,-18.72
KX344031|Human_CoV_OC43|Mexico|09-Feb-2011|2011|Homo_sapiens,-17.62
KU131570|Human_CoV_OC43|United_Kingdom|20-Aug-2011|2011|Homo_sapiens,-11.79
KF923925|Human_CoV_OC43|China|Sep-2010|2010|Homo_sapiens,-20.62
KF923924|Human_CoV_OC43|China|Jul-2010|2010|Homo_sapiens,-17.66
KF923923|Human_CoV_OC43|China|Oct-2008|2008|Homo_sapiens,-16.66
KF923922|Human_CoV_OC43|China|Mar-2009|2009|Homo_sapiens,-18.66
KF923921|Human_CoV_OC43|China|May-2007|2007|Homo_sapiens,-17.70
KF923920|Human_CoV_OC43|China|Jul-2007|2007|Homo_sapiens,-17.70
KF923919|Human_CoV_OC43|China|Jul-2007|2007|Homo_sapiens,-17.70
KF923918|Human_CoV_OC43|China|May-2010|2010|Homo_sapiens,-18.66
KF923917|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-15.71
KF923916|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-14.71
KF923915|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.71
KF923914|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923913|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923912|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923911|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923910|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.66
KF923909|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.71
KF923908|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923907|Human_CoV_OC43|China|May-2007|2007|Homo_sapiens,-17.70
KF923905|Human_CoV_OC43|China|Jun-2005|2005|Homo_sapiens,-15.74
KF923904|Human_CoV_OC43|China|May-2012|2012|Homo_sapiens,-18.70
KF923903|Human_CoV_OC43|China|May-2012|2012|Homo_sapiens,-16.60
KF923902|Human_CoV_OC43|China|May-2012|2012|Homo_sapiens,-16.70
KF923901|Human_CoV_OC43|China|Jun-2007|2007|Homo_sapiens,-17.70
KF923899|Human_CoV_OC43|China|Sep-2006|2006|Homo_sapiens,-12.75
KF923898|Human_CoV_OC43|China|Mar-2012|2012|Homo_sapiens,-13.78
KF923897|Human_CoV_OC43|China|Jun-2012|2012|Homo_sapiens,-16.60
KF923895|Human_CoV_OC43|China|Jul-2010|2010|Homo_sapiens,-14.70
KF923894|Human_CoV_OC43|China|May-2007|2007|Homo_sapiens,-17.70
KF923893|Human_CoV_OC43|China|Jul-2010|2010|Homo_sapiens,-17.66
KF923892|Human_CoV_OC43|China|May-2007|2007|Homo_sapiens,-17.71
KF923890|Human_CoV_OC43|China|Apr-2007|2007|Homo_sapiens,-17.70
KF923889|Human_CoV_OC43|China|Mar-2006|2006|Homo_sapiens,-13.75
KF923887|Human_CoV_OC43|China|Apr-2010|2010|Homo_sapiens,-12.78
KF923886|Human_CoV_OC43|China|Mar-2010|2010|Homo_sapiens,-13.71
KF530099|Human_CoV_OC43|USA|02-Jan-1997|1997|Homo_sapiens,-12.79
KF530098|Human_CoV_OC43|USA|10-May-1996|1996|Homo_sapiens,-12.79
KF530097|Human_CoV_OC43|USA|30-Nov-1992|1992|Homo_sapiens,-19.75
KF530096|Human_CoV_OC43|USA|15-Jan-1991|1991|Homo_sapiens,-14.75
KF530095|Human_CoV_OC43|USA|05-Feb-1991|1991|Homo_sapiens,-14.75
KF530094|Human_CoV_OC43|USA|22-Feb-1991|1991|Homo_sapiens,-13.79
KF530093|Human_CoV_OC43|USA|24-Feb-1983|1983|Homo_sapiens,-20.75
KF530092|Human_CoV_OC43|USA|08-Aug-2000|2000|Homo_sapiens,-19.75
KF530091|Human_CoV_OC43|USA|24-Jan-1991|1991|Homo_sapiens,-14.79
KF530090|Human_CoV_OC43|USA|26-Jan-1993|1993|Homo_sapiens,-19.75
KF530089|Human_CoV_OC43|USA|29-Jan-1991|1991|Homo_sapiens,-13.79
KF530088|Human_CoV_OC43|USA|23-Jan-1990|1990|Homo_sapiens,-14.79
KF530087|Human_CoV_OC43|USA|05-Mar-1987|1987|Homo_sapiens,-19.75
KF530086|Human_CoV_OC43|USA|10-Feb-1987|1987|Homo_sapiens,-19.75
KF530085|Human_CoV_OC43|USA|22-Jan-1987|1987|Homo_sapiens,-19.75
KF530084|Human_CoV_OC43|USA|12-Jan-1995|1995|Homo_sapiens,-13.78
KF530083|Human_CoV_OC43|USA|17-Mar-1987|1987|Homo_sapiens,-19.75
KF530082|Human_CoV_OC43|USA|07-Feb-1991|1991|Homo_sapiens,-13.79
KF530081|Human_CoV_OC43|USA|07-Jan-1999|1999|Homo_sapiens,-13.78
KF530080|Human_CoV_OC43|USA|18-Dec-1997|1997|Homo_sapiens,-19.75
KF530079|Human_CoV_OC43|USA|14-Mar-1991|1991|Homo_sapiens,-13.75
KF530078|Human_CoV_OC43|USA|17-Dec-1996|1996|Homo_sapiens,-19.75
KF530077|Human_CoV_OC43|USA|12-Mar-1987|1987|Homo_sapiens,-19.75
KF530076|Human_CoV_OC43|USA|03-Jan-1991|1991|Homo_sapiens,-14.79
KF530075|Human_CoV_OC43|USA|09-Mar-1995|1995|Homo_sapiens,-19.75
KF530074|Human_CoV_OC43|USA|16-Dec-1992|1992|Homo_sapiens,-19.75
KF530073|Human_CoV_OC43|USA|21-Dec-1989|1989|Homo_sapiens,-20.75
KF530072|Human_CoV_OC43|USA|11-Dec-1997|1997|Homo_sapiens,-19.75
KF530071|Human_CoV_OC43|USA|04-May-1992|1992|Homo_sapiens,-14.79
KF530070|Human_CoV_OC43|USA|15-Jan-1999|1999|Homo_sapiens,-13.78
KF530069|Human_CoV_OC43|USA|05-Feb-1998|1998|Homo_sapiens,-12.75
KF530068|Human_CoV_OC43|USA|27-Jul-2000|2000|Homo_sapiens,-13.78
KF530067|Human_CoV_OC43|USA|07-Feb-1991|1991|Homo_sapiens,-13.79
KF530066|Human_CoV_OC43|USA|16-Jan-1990|1990|Homo_sapiens,-19.75
KF530065|Human_CoV_OC43|USA|17-Jan-1990|1990|Homo_sapiens,-19.75
KF530064|Human_CoV_OC43|USA|04-Dec-1996|1996|Homo_sapiens,-19.75
KF530063|Human_CoV_OC43|USA|30-Dec-1996|1996|Homo_sapiens,-12.79
KF530062|Human_CoV_OC43|USA|13-Feb-1995|1995|Homo_sapiens,-19.75
KF530061|Human_CoV_OC43|USA|19-Jan-1990|1990|Homo_sapiens,-18.75
KF530060|Human_CoV_OC43|USA|08-Jan-1985|1985|Homo_sapiens,-19.75
KF530059|Human_CoV_OC43|USA|11-Jan-1995|1995|Homo_sapiens,-19.75
KF923906|Human_CoV_OC43|China|Mar-2012|2012|Homo_sapiens,-13.75
KF923900|Human_CoV_OC43|China|Oct-2006|2006|Homo_sapiens,-13.72
KF923896|Human_CoV_OC43|China|Feb-2012|2012|Homo_sapiens,-12.75
KF923891|Human_CoV_OC43|China|May-2007|2007|Homo_sapiens,-17.70
KF923888|Human_CoV_OC43|China|Jul-2010|2010|Homo_sapiens,-13.78
KP198611|Human_CoV_OC43|China|Jan-2010|2010|Homo_sapiens,-13.75
KP198610|Human_CoV_OC43|China|Jun-2010|2010|Homo_sapiens,-15.72
KJ958219|Human_CoV_OC43|China|04-Oct-2011|2011|Homo_sapiens,-19.65
KJ958218|Human_CoV_OC43|China|03-Oct-2011|2011|Homo_sapiens,-19.62
JN129835|Human_CoV_OC43|China|Nov-2004|2004|Homo_sapiens,-14.74
JN129834|Human_CoV_OC43|China|Nov-2004|2004|Homo_sapiens,-13.75
AY585229|Human_CoV_OC43|France|None|None|None,-15.85
AY585228|Human_CoV_OC43|USA|None|None|None,-15.85
AY391777|Human_CoV_OC43|None|None|None|None,-13.86
AY903460|Human_CoV_OC43|Belgium|None|None|None,-14.74
AY903459|Human_CoV_OC43|Belgium|None|None|None,-14.78
